"No.","Time","Source","Destination","Protocol","Length","Info"
"35","24.511744200","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [ACK] Seq=283 Ack=398 Win=65024 Len=0"
"36","24.512057200","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"37","24.512121000","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [ACK] Seq=398 Ack=340 Win=65196 Len=0"
"38","24.512184900","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [FIN, ACK] Seq=340 Ack=398 Win=65024 Len=0"
"39","24.512212000","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [ACK] Seq=398 Ack=341 Win=65196 Len=0"
"40","24.512345700","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [FIN, ACK] Seq=398 Ack=341 Win=65196 Len=0"
"41","24.512504600","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [ACK] Seq=341 Ack=399 Win=65024 Len=0"
"42","25.012497400","::1","::1","TLSv1.2","89","Application Data"
"43","25.012663200","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=30 Ack=51 Win=215 Len=0"
"44","25.013400600","::1","::1","TLSv1.2","93","Application Data"
"45","25.013478000","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=51 Ack=59 Win=182 Len=0"
"46","38.563875100","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"47","38.609968500","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"48","38.614404700","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"49","38.614809200","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"50","38.615969300","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"51","38.616323100","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"52","38.617253700","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"53","38.617542300","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"54","50.022955500","::1","::1","TLSv1.2","89","Application Data"
"55","50.023050300","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=59 Ack=76 Win=215 Len=0"
"56","50.024188700","::1","::1","TLSv1.2","93","Application Data"
"57","50.024283400","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=76 Ack=88 Win=182 Len=0"
"58","50.277385400","127.0.0.1","127.0.0.1","TCP","56","61445  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"59","50.277527700","127.0.0.1","127.0.0.1","TCP","56","4840  >  61445 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=2 SACK_PERM"
"60","50.277612300","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"61","50.278276500","127.0.0.1","127.0.0.1","OpcUa","100","Hello message"
"62","50.278351800","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [ACK] Seq=1 Ack=57 Win=65480 Len=0"
"63","50.278505500","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"64","50.278626400","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [ACK] Seq=57 Ack=29 Win=65280 Len=0"
"65","50.278683600","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"66","50.278703000","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [ACK] Seq=29 Ack=190 Win=65346 Len=0"
"67","50.278818900","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"68","50.278852200","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [ACK] Seq=190 Ack=164 Win=65280 Len=0"
"69","50.279144200","127.0.0.1","127.0.0.1","OpcUa","137","UA Secure Conversation Message: FindServersRequest"
"70","50.279177300","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [ACK] Seq=164 Ack=283 Win=65254 Len=0"
"71","50.280290600","127.0.0.1","127.0.0.1","OpcUa","278","UA Secure Conversation Message: FindServersResponse"
"72","50.280342200","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [ACK] Seq=283 Ack=398 Win=65024 Len=0"
"73","50.280523000","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"74","50.280550800","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [ACK] Seq=398 Ack=340 Win=65196 Len=0"
"75","50.280581200","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [FIN, ACK] Seq=340 Ack=398 Win=65024 Len=0"
"76","50.280607300","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [ACK] Seq=398 Ack=341 Win=65196 Len=0"
"77","50.280707200","127.0.0.1","127.0.0.1","TCP","44","4840  >  61445 [FIN, ACK] Seq=398 Ack=341 Win=65196 Len=0"
"78","50.280752900","127.0.0.1","127.0.0.1","TCP","44","61445  >  4840 [ACK] Seq=341 Ack=399 Win=65024 Len=0"
"79","52.215047800","127.0.0.1","127.0.0.1","TCP","56","61446  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"80","52.215214900","127.0.0.1","127.0.0.1","TCP","56","53530  >  61446 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
