"No.","Time","Source","Destination","Protocol","Length","Info"
"205","63.500320","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"206","63.500333","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=25851 Ack=8263 Win=57088 Len=0"
"207","63.510618","127.0.0.1","127.0.0.1","OpcUa","129","UA Secure Conversation Message: PublishResponse"
"208","63.510704","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8263 Ack=25936 Win=39424 Len=0"
"209","63.515430","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"210","63.515511","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=25936 Ack=8361 Win=57088 Len=0"
"211","63.895718","127.0.0.1","127.0.0.1","OpcUa","289","UA Secure Conversation Message: PublishResponse"
"212","63.895794","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8361 Ack=26181 Win=39168 Len=0"
"213","63.906419","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"214","63.906491","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=26181 Ack=8467 Win=56832 Len=0"
"215","64.392589","127.0.0.1","127.0.0.1","OpcUa","206","UA Secure Conversation Message: PublishResponse"
"216","64.392673","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8467 Ack=26343 Win=39168 Len=0"
"217","64.405304","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"218","64.405373","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=26343 Ack=8573 Win=56832 Len=0"
"219","65.388536","127.0.0.1","127.0.0.1","OpcUa","206","UA Secure Conversation Message: PublishResponse"
"220","65.388627","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8573 Ack=26505 Win=38912 Len=0"
"221","65.401444","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"222","65.401538","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=26505 Ack=8679 Win=56832 Len=0"
"223","66.402601","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"224","66.402697","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8679 Ack=26671 Win=38656 Len=0"
"225","66.415627","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"226","66.415758","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=26671 Ack=8785 Win=56576 Len=0"
"227","66.452171","127.0.0.1","127.0.0.1","OpcUa","192","UA Secure Conversation Message: BrowseRequest"
"228","66.452256","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=26671 Ack=8933 Win=56576 Len=0"
"229","66.458262","127.0.0.1","127.0.0.1","OpcUa","794","UA Secure Conversation Message: BrowseResponse"
"230","66.458359","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8933 Ack=27421 Win=37888 Len=0"
"231","67.401350","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"232","67.401426","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=8933 Ack=27587 Win=37888 Len=0"
"233","67.413329","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"234","67.413446","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=27587 Ack=9039 Win=56320 Len=0"
"235","68.399918","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"236","68.399992","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9039 Ack=27753 Win=37632 Len=0"
"237","68.413033","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"238","68.413246","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=27753 Ack=9145 Win=56320 Len=0"
"239","68.476215","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"240","68.476278","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9145 Ack=27842 Win=37632 Len=0"
"241","68.490265","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"242","68.490330","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=27842 Ack=9243 Win=56064 Len=0"
"243","68.490388","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"244","68.490416","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=27842 Ack=9407 Win=56064 Len=0"
"245","68.495351","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"246","68.495424","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9407 Ack=27941 Win=37376 Len=0"
"247","69.395379","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"248","69.395472","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9407 Ack=28107 Win=37376 Len=0"
"249","69.408217","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"250","69.408314","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=28107 Ack=9513 Win=55808 Len=0"
"251","70.390513","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"252","70.390583","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9513 Ack=28273 Win=37120 Len=0"
"253","70.402146","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"254","70.402212","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=28273 Ack=9619 Win=55808 Len=0"
"255","71.388512","127.0.0.1","127.0.0.1","OpcUa","206","UA Secure Conversation Message: PublishResponse"
"256","71.388593","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9619 Ack=28435 Win=36864 Len=0"
"257","71.400644","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"258","71.400730","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=28435 Ack=9725 Win=55808 Len=0"
"259","72.400869","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"260","72.400955","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9725 Ack=28601 Win=36864 Len=0"
"261","72.414072","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"262","72.414190","127.0.0.1","127.0.0.1","TCP","44","53530  >  53541 [ACK] Seq=28601 Ack=9831 Win=55552 Len=0"
"263","73.398115","127.0.0.1","127.0.0.1","OpcUa","210","UA Secure Conversation Message: PublishResponse"
"264","73.398192","127.0.0.1","127.0.0.1","TCP","44","53541  >  53530 [ACK] Seq=9831 Ack=28767 Win=36608 Len=0"
